"","MEMBERSHIP_ID","tot_mem","COHORT_MONTH","MEMBERSHIP_TYPE_CODE","MEMBERSHIP_TYPE_DESC","JOIN_DATE","TENURE_GRP","RENEW_IND","LAST_RENEW_DATE","RENEW_DATE","NEXT_RENEW_DATE","PLUS_STATUS_BEFORE_REN","PLUS_STATUS_AFTER_REN","PLUS_MEMBERSHIP_IND","PLUS_UPGRADE_DATE","autorenew_ind","payroll_deduct_ind"
"22",125675,46320.06,"2018-01",3,"BUSINESS","2012-01-06","3+","RENEWED PLUS","2017-12-15","2017-12-15","2019-01-06","PLUS","PLUS","Y","2013-11-07","N","N"
"23",212020,44217.21,"2018-01",3,"BUSINESS","2017-01-05","1","RENEWED PLUS","2018-01-04","2018-01-04","2019-01-05","PLUS","PLUS","Y","?","N","N"
"24",114165,40755.07,"2018-01",3,"BUSINESS","2011-01-12","3+","RENEWED PLUS","2017-12-29","2017-12-29","2019-01-12","PLUS","PLUS","Y","?","N","N"
"25",117828,38660.76,"2018-01",3,"BUSINESS","2011-01-29","3+","RENEWED PLUS","2018-01-15","2018-01-15","2019-01-29","PLUS","PLUS","Y","2012-07-17","N","N"
"26",194242,37547.78,"2018-01",3,"BUSINESS","2016-01-14","2","RENEWED PLUS","2018-01-14","2018-01-11","2019-01-14","PLUS","PLUS","Y","2017-11-18","Y","N"
"27",176059,37438,"2018-01",3,"BUSINESS","2015-01-17","3","RENEWED PLUS","2018-01-18","2018-01-18","2019-01-17","PLUS","PLUS","Y","?","N","N"
"28",141471,36646.36,"2018-01",3,"BUSINESS","2013-01-17","3+","RENEWED PLUS","2017-12-07","2017-12-07","2019-01-17","PLUS","PLUS","Y","2014-06-19","N","N"
"29",153294,36618.68,"2018-01",3,"BUSINESS","2014-01-06","3+","RENEWED PLUS","2018-01-08","2018-01-08","2019-01-06","PLUS","PLUS","Y","?","N","N"
"30",24261,36278.26,"2018-01",3,"BUSINESS","2002-05-30","3+","UNRENEWED","2017-01-13","?","2018-01-07","PLUS","?","Y","2015-09-21","N","N"
"31",5048,33866.97,"2018-01",3,"BUSINESS","1992-01-07","3+","RENEWED PLUS","2018-01-07","2018-01-04","2019-01-07","PLUS","PLUS","Y","2013-01-23","Y","N"
"32",78984,33198.97,"2018-01",3,"BUSINESS","2008-01-03","3+","UNRENEWED","2017-01-05","?","2018-01-03","PLUS","?","Y","?","N","N"
"33",158431,32292.02,"2018-01",3,"BUSINESS","2014-01-21","3+","RENEWED PLUS","2017-08-06","2017-08-06","2019-01-21","PLUS","PLUS","Y","2016-10-10","N","N"
"34",15344,31393.52,"2018-01",3,"BUSINESS","2002-01-09","3+","RENEWED PLUS","2018-01-17","2018-01-17","2019-01-09","PLUS","PLUS","Y","2013-11-21","N","N"
"35",155512,31218.78,"2018-01",3,"BUSINESS","2014-01-13","3+","RENEWED PLUS","2017-02-04","2017-02-04","2019-01-13","PLUS","PLUS","Y","2014-05-17","N","N"
"36",60801,28368.02,"2018-01",3,"BUSINESS","2006-01-06","3+","RENEWED PLUS","2017-11-09","2017-11-09","2019-01-06","PLUS","PLUS","Y","2014-08-01","N","N"
"37",87230,27975.57,"2018-01",3,"BUSINESS","1994-01-26","3+","RENEWED PLUS","2018-01-23","2018-01-23","2019-01-26","PLUS","PLUS","Y","2014-10-17","N","N"
"38",394,27376.36,"2018-01",3,"BUSINESS","1987-01-27","3+","RENEWED PLUS","2018-01-08","2018-01-08","2019-01-31","PLUS","PLUS","Y","2014-09-20","N","N"
"39",177742,27325.02,"2018-01",3,"BUSINESS","2015-01-21","3","RENEWED PLUS","2018-01-21","2018-01-18","2019-01-21","PLUS","PLUS","Y","?","Y","N"
"40",104300,27224.28,"2018-01",3,"BUSINESS","2010-01-16","3+","RENEWED BASE","2018-01-10","2018-01-10","2019-01-16","BASE","BASE","N","2013-04-06","N","N"
"41",73156,26633.75,"2018-01",3,"BUSINESS","2007-01-28","3+","RENEWED PLUS","2018-01-28","2018-01-28","2019-01-28","PLUS","PLUS","Y","2014-07-02","Y","N"
"42",64427,26536.29,"2018-01",3,"BUSINESS","1994-01-06","3+","RENEWED PLUS","2018-01-06","2018-01-03","2019-01-06","PLUS","PLUS","Y","?","Y","N"
"43",62669,26513.67,"2018-01",3,"BUSINESS","2006-01-21","3+","RENEWED PLUS","2017-12-30","2017-12-30","2019-01-21","PLUS","PLUS","Y","?","N","N"
"44",77051,25800.21,"2018-01",3,"BUSINESS","2007-10-16","3+","RENEWED PLUS","2017-12-15","2017-12-15","2019-01-16","PLUS","PLUS","Y","?","N","N"
"45",55058,25630.9,"2018-01",3,"BUSINESS","1997-01-07","3+","RENEWED PLUS","2018-01-07","2018-01-04","2019-01-07","PLUS","PLUS","Y","?","Y","N"
"46",238400,25224.82,"2018-01",3,"BUSINESS","2017-01-24","1","RENEWED PLUS","2018-01-26","2018-01-26","2019-01-24","PLUS","PLUS","Y","2017-01-25","N","N"
"47",144653,25110.47,"2018-01",3,"BUSINESS","2013-01-31","3+","RENEWED PLUS","2018-01-10","2018-01-10","2019-01-31","PLUS","PLUS","Y","?","N","N"
"48",202996,23737.42,"2018-01",3,"BUSINESS","2016-01-31","2","RENEWED PLUS","2018-02-02","2018-02-02","2019-01-31","PLUS","PLUS","Y","2016-09-17","N","N"
"49",193683,22548.12,"2018-01",2,"SAVINGS","2016-01-13","2","RENEWED PLUS","2018-01-13","2018-01-10","2019-01-13","PLUS","PLUS","Y","?","Y","N"
"50",8572,22336.11,"2018-01",3,"BUSINESS","2001-01-23","3+","RENEWED PLUS","2018-02-02","2018-02-02","2019-01-31","PLUS","PLUS","Y","2010-01-21","N","N"
"51",23640,22302.68,"2018-01",3,"BUSINESS","1991-10-12","3+","RENEWED PLUS","2017-01-24","2018-01-29","2019-01-30","PLUS","PLUS","Y","2014-11-26","N","N"
"52",233336,21251.79,"2018-01",3,"BUSINESS","2017-01-20","1","UNRENEWED","2017-01-20","?","2018-01-20","BASE","?","N","?","N","N"
"53",80809,21079.4,"2018-01",3,"BUSINESS","2008-01-17","3+","RENEWED PLUS","2018-01-17","2018-01-14","2019-01-17","PLUS","PLUS","Y","2014-08-18","Y","N"
"54",230358,20710.93,"2018-01",3,"BUSINESS","2017-01-18","1","RENEWED PLUS","2017-01-18","2018-01-17","2019-01-18","PLUS","PLUS","Y","?","Y","N"
"55",55094,20423.21,"2018-01",3,"BUSINESS","1992-01-28","3+","RENEWED PLUS","2017-12-28","2017-12-28","2019-01-28","PLUS","PLUS","Y","2015-07-28","N","N"
"56",187265,20111.96,"2018-01",3,"BUSINESS","2016-01-02","2","RENEWED PLUS","2017-12-28","2017-12-28","2019-01-02","PLUS","PLUS","Y","?","N","N"
"57",104798,19735.45,"2018-01",3,"BUSINESS","2010-01-19","3+","RENEWED PLUS","2017-12-20","2017-12-20","2019-01-19","PLUS","PLUS","Y","2015-11-27","N","N"
"58",6009,19705.32,"2018-01",3,"BUSINESS","2000-10-17","3+","RENEWED PLUS","2018-01-19","2018-01-19","2019-01-09","PLUS","PLUS","Y","2011-07-29","N","N"
"59",5075,19404.3,"2018-01",2,"SAVINGS","1990-09-09","3+","RENEWED PLUS","2018-01-03","2018-01-03","2019-01-03","PLUS","PLUS","Y","2016-11-04","N","N"
"60",97230,19402.54,"2018-01",3,"BUSINESS","1996-01-16","3+","RENEWED PLUS","2018-01-24","2018-01-24","2019-01-15","PLUS","PLUS","Y","2014-06-18","N","N"
"61",18222,19025.89,"2018-01",3,"BUSINESS","2002-01-31","3+","RENEWED PLUS","2018-01-05","2018-01-05","2019-01-30","PLUS","PLUS","Y","2012-11-12","N","N"
"62",21112,18963.93,"2018-01",3,"BUSINESS","1992-01-28","3+","RENEWED PLUS","2018-01-05","2018-01-05","2019-01-28","PLUS","PLUS","Y","2014-07-03","N","N"
"63",174613,18839.11,"2018-01",3,"BUSINESS","2015-01-13","3","RENEWED PLUS","2017-12-14","2017-12-14","2019-01-13","PLUS","PLUS","Y","?","N","N"
"64",53696,18804.4,"2018-01",2,"SAVINGS","2005-01-29","3+","RENEWED PLUS","2018-01-30","2018-01-30","2019-01-29","PLUS","PLUS","Y","2014-06-23","N","N"
"65",13177,18517.9,"2018-01",3,"BUSINESS","1991-10-24","3+","RENEWED PLUS","2018-03-23","2018-01-02","2019-03-23","PLUS","PLUS","Y","2017-08-11","Y","N"
"66",192671,18511.92,"2018-01",3,"BUSINESS","2016-01-10","2","RENEWED BASE","2018-01-10","2018-01-10","2019-01-10","BASE","BASE","N","?","Y","N"
"67",73476,18367.35,"2018-01",3,"BUSINESS","2007-01-31","3+","RENEWED PLUS","2018-01-31","2018-01-28","2019-01-31","PLUS","PLUS","Y","2014-12-26","Y","N"
"68",80723,18241.02,"2018-01",3,"BUSINESS","2008-01-16","3+","RENEWED PLUS","2017-12-22","2017-12-22","2019-01-16","PLUS","PLUS","Y","2015-08-23","N","N"
"69",36125,18176.72,"2018-01",3,"BUSINESS","1992-01-28","3+","RENEWED PLUS","2018-01-06","2018-01-06","2019-01-28","PLUS","PLUS","Y","2014-11-02","N","N"
"70",28206,18085.49,"2018-01",2,"SAVINGS","2002-11-30","3+","RENEWED PLUS","2017-11-07","2017-11-07","2019-01-14","PLUS","PLUS","Y","2011-08-03","Y","N"
"71",85382,18032.52,"2018-01",3,"BUSINESS","1994-10-03","3+","RENEWED BASE","2018-01-13","2018-01-13","2019-01-07","BASE","BASE","N","?","N","N"
"72",124516,17964.95,"2018-01",3,"BUSINESS","2011-12-21","3+","RENEWED PLUS","2018-01-02","2018-01-02","2019-01-06","PLUS","PLUS","Y","?","N","N"
"73",117325,17651.77,"2018-01",2,"SAVINGS","2011-01-27","3+","RENEWED PLUS","2018-01-27","2018-01-24","2019-01-27","PLUS","PLUS","Y","2012-10-08","Y","N"
"74",32166,17604.48,"2018-01",3,"BUSINESS","2003-01-22","3+","RENEWED PLUS","2017-12-22","2017-12-22","2019-01-22","PLUS","PLUS","Y","2013-09-02","N","N"
"75",60513,17300.6,"2018-01",3,"BUSINESS","2006-01-04","3+","RENEWED PLUS","2018-01-06","2018-01-06","2019-01-04","PLUS","PLUS","Y","2014-09-19","N","N"
"76",192859,17225.71,"2018-01",3,"BUSINESS","2016-01-11","2","RENEWED PLUS","2018-01-11","2018-01-11","2019-01-11","PLUS","PLUS","Y","?","N","N"
"77",112458,17218.99,"2018-01",2,"SAVINGS","2011-01-02","3+","RENEWED PLUS","2018-01-07","2018-01-07","2019-01-02","PLUS","PLUS","Y","2015-08-22","N","N"
"78",114727,16829.87,"2018-01",3,"BUSINESS","2011-01-14","3+","RENEWED PLUS","2018-01-06","2018-01-06","2019-01-16","PLUS","PLUS","Y","2014-11-09","N","N"
"79",16298,16691.01,"2018-01",3,"BUSINESS","1992-01-16","3+","RENEWED PLUS","2018-01-10","2018-01-10","2019-01-16","PLUS","PLUS","Y","2010-10-01","N","N"
"80",174117,16619.03,"2018-01",3,"BUSINESS","2015-01-11","3","RENEWED PLUS","2018-01-11","2018-01-08","2019-01-11","PLUS","PLUS","Y","?","Y","N"
"81",49957,16512.58,"2018-01",3,"BUSINESS","2004-12-30","3+","RENEWED PLUS","2018-01-28","2018-01-28","2019-01-25","PLUS","PLUS","Y","2010-06-29","N","N"
"82",141919,16230.98,"2018-01",3,"BUSINESS","2013-01-18","3+","RENEWED PLUS","2017-12-17","2017-12-17","2019-01-18","PLUS","PLUS","Y","2013-11-16","N","N"
"83",163754,16198.64,"2018-01",2,"SAVINGS","2000-01-02","3+","RENEWED PLUS","2017-11-20","2017-11-20","2019-01-01","PLUS","PLUS","Y","2014-08-23","N","N"
"84",165863,16157.24,"2018-01",3,"BUSINESS","1999-01-19","3+","RENEWED PLUS","2018-01-19","2018-01-19","2019-01-19","PLUS","PLUS","Y","?","N","N"
"85",86616,16059.5,"2018-01",3,"BUSINESS","2008-09-15","3+","RENEWED PLUS","2018-01-07","2018-01-07","2019-01-11","PLUS","PLUS","Y","2017-05-23","N","N"
"86",11287,15938.9,"2018-01",3,"BUSINESS","1991-12-30","3+","RENEWED PLUS","2018-01-03","2018-01-03","2019-01-03","PLUS","PLUS","Y","2014-06-17","N","N"
"87",94445,15927.67,"2018-01",2,"SAVINGS","2009-01-25","3+","RENEWED PLUS","2018-01-22","2018-01-22","2019-01-25","PLUS","PLUS","Y","2017-11-22","N","N"
"88",56828,15884.28,"2018-01",3,"BUSINESS","1993-01-27","3+","RENEWED BASE","2018-01-27","2018-01-24","2019-01-27","BASE","BASE","N","?","Y","N"
"89",149157,15809.44,"2018-01",3,"BUSINESS","1999-01-29","3+","RENEWED PLUS","2018-01-11","2018-01-11","2019-01-12","PLUS","PLUS","Y","2015-09-04","N","N"
"90",82449,15732.1,"2018-01",3,"BUSINESS","2008-01-28","3+","RENEWED PLUS","2018-01-28","2018-01-25","2019-01-28","PLUS","PLUS","Y","2016-04-08","Y","N"
"91",217587,15570.17,"2018-01",3,"BUSINESS","2017-01-09","1","RENEWED PLUS","2017-11-22","2017-11-22","2019-01-09","PLUS","PLUS","Y","?","N","N"
"92",88257,15519.54,"2018-01",3,"BUSINESS","1995-01-06","3+","RENEWED PLUS","2017-12-20","2017-12-20","2019-01-14","PLUS","PLUS","Y","2014-08-24","N","N"
"93",105885,15515.13,"2018-01",3,"BUSINESS","2010-01-27","3+","RENEWED PLUS","2018-01-03","2018-01-03","2019-01-27","PLUS","PLUS","Y","?","N","N"
"94",61421,15436.64,"2018-01",2,"SAVINGS","2006-01-11","3+","RENEWED BASE","2018-01-11","2018-01-08","2019-01-11","BASE","BASE","N","2012-11-15","Y","N"
"95",104844,15431.35,"2018-01",3,"BUSINESS","2010-01-20","3+","RENEWED PLUS","2018-02-09","2018-02-09","2019-01-20","PLUS","PLUS","Y","2013-09-29","N","N"
"96",7916,15354.28,"2018-01",3,"BUSINESS","2001-01-13","3+","RENEWED BASE","2017-12-04","2017-12-04","2019-01-13","BASE","BASE","N","?","N","N"
"97",58776,15310.15,"2018-01",2,"SAVINGS","2005-11-10","3+","RENEWED PLUS","2018-01-19","2018-01-19","2019-01-18","PLUS","PLUS","Y","2014-05-17","N","N"
"98",78687,15307.58,"2018-01",3,"BUSINESS","1993-01-25","3+","RENEWED BASE","2018-01-30","2018-01-30","2019-01-30","BASE","BASE","Y","2018-06-30","N","N"
"99",52941,15299.97,"2018-01",2,"SAVINGS","2005-01-24","3+","RENEWED PLUS","2018-01-18","2018-01-18","2019-01-24","PLUS","PLUS","Y","2011-10-27","N","N"
"100",82474,15184.19,"2018-01",3,"BUSINESS","2008-01-28","3+","RENEWED BASE","2018-01-29","2018-01-29","2019-01-28","BASE","BASE","N","?","N","N"
"101",47769,15177.45,"2018-01",3,"BUSINESS","1993-01-13","3+","RENEWED PLUS","2017-12-12","2017-12-12","2019-01-13","PLUS","PLUS","Y","2013-09-23","N","N"
"102",180985,15108.41,"2018-01",3,"BUSINESS","2015-01-30","3","RENEWED PLUS","2018-01-26","2018-01-26","2019-01-30","PLUS","PLUS","Y","?","Y","N"
"103",105999,14917.39,"2018-01",2,"SAVINGS","2010-01-27","3+","RENEWED BASE","2018-01-17","2018-01-17","2019-01-27","BASE","BASE","N","?","N","N"
"104",31568,14905.54,"2018-01",2,"SAVINGS","2003-01-18","3+","RENEWED PLUS","2017-09-07","2017-09-07","2019-01-18","PLUS","PLUS","Y","2011-02-26","N","N"
"105",38111,14731.86,"2018-01",3,"BUSINESS","1992-01-02","3+","RENEWED PLUS","2018-01-02","2017-12-30","2019-01-02","PLUS","PLUS","Y","2014-08-01","Y","N"
"106",133213,14632.33,"2018-01",3,"BUSINESS","1996-01-29","3+","RENEWED PLUS","2018-02-11","2018-02-11","2019-01-28","PLUS","PLUS","Y","2015-08-29","N","N"
"107",180031,14597.11,"2018-01",2,"SAVINGS","2015-01-27","3","RENEWED PLUS","2018-01-27","2018-01-24","2019-01-27","PLUS","PLUS","Y","2015-08-08","Y","N"
"108",119481,14576.53,"2018-01",2,"SAVINGS","1997-10-15","3+","RENEWED PLUS","2017-12-22","2017-12-22","2019-01-15","PLUS","PLUS","Y","2014-01-02","N","N"
"109",98677,14544.41,"2018-01",2,"SAVINGS","2000-01-13","3+","RENEWED PLUS","2017-11-02","2017-11-02","2019-01-12","PLUS","PLUS","Y","2014-06-20","N","N"
"110",144665,14499.84,"2018-01",3,"BUSINESS","2013-01-31","3+","RENEWED PLUS","2017-01-21","2018-02-06","2019-02-06","PLUS","PLUS","Y","2017-04-13","N","N"
"111",9790,14474.23,"2018-01",3,"BUSINESS","2001-04-29","3+","RENEWED PLUS","2017-12-11","2017-12-11","2019-01-14","PLUS","PLUS","Y","2012-11-02","N","N"
"112",201602,14312.83,"2018-01",2,"SAVINGS","2016-01-28","2","RENEWED PLUS","2018-01-17","2018-01-17","2019-01-28","PLUS","PLUS","Y","?","Y","N"
"113",64437,14174,"2018-01",3,"BUSINESS","1992-12-21","3+","RENEWED PLUS","2018-01-10","2017-12-29","2019-01-09","BASE","PLUS","Y","2018-01-15","N","N"
"114",36891,14149.4,"2018-01",3,"BUSINESS","1992-01-30","3+","RENEWED PLUS","2018-01-02","2018-01-02","2019-01-30","PLUS","PLUS","Y","2011-11-06","N","N"
"115",132840,14096.14,"2018-01",3,"BUSINESS","1996-02-22","3+","RENEWED PLUS","2017-12-11","2017-12-11","2019-01-23","PLUS","PLUS","Y","2014-09-15","N","N"
"116",30597,14068.38,"2018-01",3,"BUSINESS","2003-01-12","3+","RENEWED PLUS","2017-12-26","2017-12-26","2019-01-12","PLUS","PLUS","Y","2017-08-10","N","N"
"117",81606,14015.15,"2018-01",2,"SAVINGS","2008-01-22","3+","RENEWED PLUS","2018-01-04","2018-01-04","2019-01-22","PLUS","PLUS","Y","2010-08-05","Y","N"
"118",57954,13961.39,"2018-01",2,"SAVINGS","1992-01-26","3+","RENEWED PLUS","2018-01-06","2018-01-06","2019-01-26","PLUS","PLUS","Y","2011-05-21","N","N"
"119",13051,13890.49,"2018-01",3,"BUSINESS","1988-12-26","3+","RENEWED BASE","2018-01-24","2018-01-24","2019-01-31","BASE","BASE","N","2015-11-27","N","N"
"120",229890,13890.01,"2018-01",2,"SAVINGS","2017-01-17","1","RENEWED BASE","2018-01-18","2018-01-18","2019-01-17","BASE","BASE","N","?","N","N"
"121",131044,13869.01,"2018-01",3,"BUSINESS","1999-01-17","3+","RENEWED PLUS","2018-01-19","2018-01-19","2019-01-17","PLUS","PLUS","Y","2016-11-20","N","N"
"122",24211,13863.22,"2018-01",3,"BUSINESS","1992-01-20","3+","RENEWED BASE","2017-12-19","2017-12-19","2019-01-20","BASE","BASE","N","?","N","N"
"123",77969,13845.92,"2018-01",2,"SAVINGS","2007-11-21","3+","RENEWED BASE","2018-03-04","2018-03-04","2019-01-17","PLUS","BASE","Y","2018-03-27","N","N"
"124",84086,13583.77,"2018-01",3,"BUSINESS","1994-07-09","3+","RENEWED BASE","2018-01-11","2018-01-11","2019-01-27","BASE","BASE","N","?","N","N"
"125",91440,13575.79,"2018-01",3,"BUSINESS","2009-01-13","3+","RENEWED PLUS","2017-10-13","2017-10-13","2019-01-13","PLUS","PLUS","Y","2014-08-18","N","N"
"126",200643,13572.07,"2018-01",3,"BUSINESS","2016-01-26","2","RENEWED BASE","2018-01-10","2018-01-10","2019-01-26","BASE","BASE","N","?","N","N"
"127",156333,13514.64,"2018-01",3,"BUSINESS","2014-01-15","3+","RENEWED PLUS","2017-12-26","2017-12-26","2019-01-15","PLUS","PLUS","Y","2015-07-04","N","N"
"128",54137,13424,"2018-01",3,"BUSINESS","1992-01-18","3+","RENEWED BASE","2018-01-08","2018-01-08","2019-01-18","BASE","BASE","N","?","N","N"
"129",46131,13155.44,"2018-01",3,"BUSINESS","1992-01-27","3+","RENEWED PLUS","2018-01-22","2018-01-22","2019-01-27","PLUS","PLUS","Y","?","N","N"
"130",138944,13141.56,"2018-01",3,"BUSINESS","2013-01-06","3+","RENEWED PLUS","2017-12-24","2017-12-24","2019-01-06","PLUS","PLUS","Y","2013-03-25","N","N"
"131",145869,13131.21,"2018-01",3,"BUSINESS","2013-04-08","3+","RENEWED PLUS","2018-01-25","2018-01-25","2019-01-31","PLUS","PLUS","Y","2016-12-15","N","N"
"132",31239,13119.11,"2018-01",3,"BUSINESS","1992-01-06","3+","RENEWED PLUS","2018-01-25","2018-01-25","2019-01-06","PLUS","PLUS","Y","2014-01-26","N","N"
"133",73543,12898.69,"2018-01",3,"BUSINESS","2007-01-31","3+","RENEWED BASE","2018-01-17","2018-01-17","2019-01-31","BASE","BASE","N","?","N","N"
"134",137755,12898.39,"2018-01",3,"BUSINESS","2013-01-03","3+","RENEWED PLUS","2018-01-03","2017-12-31","2019-01-03","PLUS","PLUS","Y","?","Y","N"
"135",60172,12895.57,"2018-01",3,"BUSINESS","2006-01-21","3+","RENEWED PLUS","2016-12-13","2018-01-03","2019-01-20","PLUS","PLUS","Y","2015-07-31","Y","N"
"136",112913,12812.29,"2018-01",2,"SAVINGS","2011-01-04","3+","RENEWED PLUS","2018-01-10","2018-01-10","2019-01-12","PLUS","PLUS","Y","2015-02-23","N","N"
"137",205544,12779.25,"2018-01",3,"BUSINESS","2017-01-25","1","RENEWED PLUS","2018-01-25","2018-01-22","2019-01-25","PLUS","PLUS","Y","?","Y","N"
"138",978,12768.21,"2018-01",3,"BUSINESS","1999-10-24","3+","RENEWED PLUS","2017-01-05","2018-01-04","2019-01-05","PLUS","PLUS","Y","2016-01-26","N","N"
"139",226590,12697.73,"2018-01",3,"BUSINESS","2017-01-15","1","RENEWED PLUS","2017-01-15","2017-11-11","2019-01-15","PLUS","PLUS","Y","?","N","N"
"140",94048,12637.67,"2018-01",3,"BUSINESS","2009-01-23","3+","RENEWED PLUS","2017-12-13","2017-12-13","2019-01-23","PLUS","PLUS","Y","2015-01-14","N","N"
"141",178926,12617.2,"2018-01",3,"BUSINESS","2015-01-24","3","RENEWED PLUS","2018-01-20","2018-01-20","2019-01-24","PLUS","PLUS","Y","?","N","N"
"142",34717,12558.61,"2018-01",2,"SAVINGS","2003-03-27","3+","RENEWED PLUS","2018-01-12","2018-01-09","2019-01-12","PLUS","PLUS","Y","2016-01-31","Y","N"
"143",234555,12538.39,"2018-01",3,"BUSINESS","2017-01-21","1","UNRENEWED","2017-01-21","?","2018-01-21","BASE","?","N","2017-05-11","N","N"
"144",164703,12499.24,"2018-01",2,"SAVINGS","2014-08-05","3+","RENEWED PLUS","2018-02-01","2018-02-01","2019-01-31","PLUS","PLUS","Y","2016-10-20","N","N"
"145",46469,12474.72,"2018-01",3,"BUSINESS","1991-10-10","3+","RENEWED PLUS","2017-12-12","2017-12-12","2019-01-11","PLUS","PLUS","Y","2015-11-03","N","N"
"146",48536,12469.01,"2018-01",2,"SAVINGS","2004-10-23","3+","RENEWED PLUS","2018-01-10","2018-01-10","2019-01-26","PLUS","PLUS","Y","2017-08-05","N","N"
"147",110413,12431.64,"2018-01",2,"SAVINGS","2010-10-08","3+","RENEWED PLUS","2018-01-13","2018-01-13","2019-01-14","PLUS","PLUS","Y","2014-09-14","Y","N"
"148",77704,12425.82,"2018-01",3,"BUSINESS","2007-11-13","3+","RENEWED PLUS","2018-01-23","2018-01-23","2019-01-21","PLUS","PLUS","Y","2016-01-21","N","N"
"149",103608,12425.7,"2018-01",3,"BUSINESS","2010-01-13","3+","RENEWED BASE","2017-11-29","2017-11-29","2019-01-13","BASE","BASE","Y","2018-09-15","N","N"
"150",229272,12424.46,"2018-01",2,"SAVINGS","2017-01-17","1","RENEWED BASE","2018-05-19","2018-05-19","2019-05-19","PLUS","BASE","N","?","N","N"
