"COHORT_MONTH","MEMBERSHIP_ID","MEMBERSHIP_TYPE_CODE","MEMBERSHIP_TYPE_DESC","JOIN_DATE","TENURE_GRP","RENEW_IND","LAST_RENEW_DATE","RENEW_DATE","NEXT_RENEW_DATE","PLUS_STATUS_BEFORE_REN","PLUS_STATUS_AFTER_REN","PLUS_MEMBERSHIP_IND","PLUS_UPGRADE_DATE","autorenew_ind","payroll_deduct_ind"
"2018-01",162121,2,"SAVINGS","1998-01-17","3+","UNRENEWED","2017-01-17","?","2018-01-17","BASE","?","N","?","N","N"
"2018-01",224304,2,"SAVINGS","2017-01-13","1","RENEWED BASE","2018-01-13","2018-01-13","2019-01-13","BASE","BASE","N","?","Y","N"
"2018-01",5909,2,"SAVINGS","2000-10-08","3+","UNRENEWED","2016-01-25","?","2017-01-25","BASE","?","N","?","N","N"
"2018-01",99253,3,"BUSINESS","2009-09-08","3+","RENEWED PLUS","2018-03-09","2018-03-09","2019-01-10","PLUS","PLUS","Y","2015-05-08","N","N"
"2018-01",8270,2,"SAVINGS","2001-01-16","3+","RENEWED PLUS","2018-01-16","2018-01-13","2019-01-16","PLUS","PLUS","Y","?","Y","N"
"2018-01",145367,2,"SAVINGS","2001-01-25","3+","RENEWED BASE","2017-12-30","2017-12-30","2019-01-25","BASE","BASE","N","?","N","N"
"2018-01",196488,2,"SAVINGS","2016-01-17","2","RENEWED PLUS","2018-01-17","2018-01-14","2019-01-17","PLUS","PLUS","Y","?","Y","N"
"2018-01",81378,2,"SAVINGS","2008-01-20","3+","RENEWED BASE","2018-01-05","2018-01-05","2019-01-19","PLUS","BASE","N","?","N","N"
"2018-01",3932,3,"BUSINESS","2000-01-30","3+","RENEWED BASE","2018-01-18","2018-01-18","2019-01-29","PLUS","BASE","N","2017-08-26","N","N"
"2018-01",41836,3,"BUSINESS","1992-01-13","3+","RENEWED BASE","2018-01-24","2018-01-24","2019-01-13","BASE","BASE","N","2010-09-24","N","N"
"2018-01",194461,2,"SAVINGS","2016-01-14","2","RENEWED BASE","2018-01-20","2018-01-20","2019-01-14","BASE","BASE","N","?","N","N"
"2018-01",154639,2,"SAVINGS","2014-01-10","3+","RENEWED BASE","2018-02-13","2018-02-13","2019-01-10","BASE","BASE","N","?","N","N"
"2018-01",134046,3,"BUSINESS","2012-10-18","3+","RENEWED BASE","2018-02-15","2018-02-15","2019-01-29","BASE","BASE","N","?","N","N"
"2018-01",231694,3,"BUSINESS","2017-01-19","1","RENEWED BASE","2018-01-19","2018-01-19","2019-01-19","BASE","BASE","N","?","Y","N"
"2018-01",239772,2,"SAVINGS","2017-01-25","1","RENEWED BASE","2018-01-05","2018-01-05","2019-01-25","BASE","BASE","N","?","N","N"
"2018-01",68288,2,"SAVINGS","2006-11-08","3+","UNRENEWED","2017-01-28","?","2018-01-18","PLUS","?","Y","2013-01-18","N","N"
"2018-01",172683,3,"BUSINESS","2015-01-08","3","RENEWED BASE","2016-12-02","2018-01-03","2019-01-08","BASE","BASE","Y","2018-04-24","Y","N"
"2018-01",81850,3,"BUSINESS","1999-01-30","3+","RENEWED PLUS","2017-12-23","2017-12-23","2019-01-30","PLUS","PLUS","Y","2015-09-26","N","N"
"2018-01",144557,2,"SAVINGS","2013-01-30","3+","UNRENEWED","2017-02-03","?","2018-01-30","PLUS","?","Y","2017-11-24","N","N"
"2018-01",88547,3,"BUSINESS","2008-11-24","3+","RENEWED BASE","2018-01-06","2018-01-06","2019-01-29","BASE","BASE","N","?","N","N"
"2018-01",235281,2,"SAVINGS","2017-01-21","1","UNRENEWED","2017-01-21","?","2018-01-21","PLUS","?","Y","2017-11-09","N","N"
"2018-01",64963,3,"BUSINESS","1993-05-28","3+","RENEWED BASE","2018-01-13","2018-01-13","2019-01-07","BASE","BASE","N","?","N","N"
"2018-01",229111,3,"BUSINESS","2017-01-17","1","UNRENEWED","2017-01-17","?","2018-01-17","BASE","?","N","?","N","N"
"2018-01",86702,2,"SAVINGS","2008-09-21","3+","RENEWED BASE","2018-02-03","2018-02-03","2019-01-07","BASE","BASE","N","2015-11-27","N","N"
"2018-01",23811,3,"BUSINESS","1991-12-09","3+","RENEWED BASE","2018-03-10","2018-03-10","2019-03-10","BASE","BASE","N","?","N","N"
"2018-01",230352,3,"BUSINESS","2017-01-18","1","UNRENEWED","2017-01-18","?","2018-01-18","PLUS","?","Y","2017-01-20","N","N"
"2018-01",204264,2,"SAVINGS","2017-01-25","1","RENEWED BASE","2018-05-07","2018-05-07","2019-05-07","BASE","BASE","N","?","N","N"
"2018-01",160527,2,"SAVINGS","2014-01-30","3+","RENEWED PLUS","2018-01-30","2018-01-27","2019-01-30","PLUS","PLUS","Y","2015-06-19","Y","N"
"2018-01",39037,2,"SAVINGS","1992-03-09","3+","UNRENEWED","2016-02-03","?","2018-01-10","BASE","?","N","?","N","N"
"2018-01",200209,3,"BUSINESS","2016-01-25","2","RENEWED PLUS","2017-12-15","2017-12-15","2019-01-25","BASE","PLUS","Y","2017-12-15","N","N"
"2018-01",241161,3,"BUSINESS","2017-01-26","1","RENEWED PLUS","2018-02-10","2018-02-10","2019-01-26","PLUS","PLUS","Y","?","N","N"
"2018-01",92777,2,"SAVINGS","2009-01-18","3+","RENEWED BASE","2018-01-03","2018-01-03","2019-01-18","BASE","BASE","N","?","N","N"
"2018-01",95314,2,"SAVINGS","2009-01-30","3+","RENEWED BASE","2018-01-07","2018-01-07","2019-01-30","BASE","BASE","N","2015-11-27","N","N"
"2018-01",85207,3,"BUSINESS","1995-01-08","3+","RENEWED BASE","2018-01-09","2018-01-09","2019-01-08","BASE","BASE","Y","2018-08-26","N","N"
"2018-01",164703,2,"SAVINGS","2014-08-05","3+","RENEWED PLUS","2018-02-01","2018-02-01","2019-01-31","PLUS","PLUS","Y","2016-10-20","N","N"
"2018-01",120966,3,"BUSINESS","2011-07-27","3+","RENEWED BASE","2018-01-06","2018-01-06","2019-01-05","BASE","BASE","N","2013-03-20","N","N"
"2018-01",209302,2,"SAVINGS","2017-01-02","1","RENEWED BASE","2018-01-14","2018-01-14","2019-01-02","BASE","BASE","N","?","N","N"
"2018-01",124425,2,"SAVINGS","2011-12-18","3+","RENEWED PLUS","2018-01-09","2018-01-06","2019-01-09","PLUS","PLUS","Y","2017-11-21","Y","N"
"2018-01",153786,3,"BUSINESS","2014-01-08","3+","RENEWED PLUS","2018-01-08","2018-01-05","2019-01-08","PLUS","PLUS","Y","?","Y","N"
"2018-01",164932,2,"SAVINGS","1998-10-03","3+","RENEWED BASE","2018-01-28","2018-01-28","2019-01-24","BASE","BASE","N","?","N","N"
"2018-01",190233,2,"SAVINGS","2016-01-07","2","RENEWED BASE","2018-08-08","2018-08-08","2019-08-08","PLUS","BASE","N","2017-07-24","N","N"
"2018-01",169062,2,"SAVINGS","2014-11-19","3+","RENEWED PLUS","2018-03-15","2018-03-15","2019-01-30","PLUS","PLUS","Y","2017-10-18","N","N"
"2018-01",123716,3,"BUSINESS","2011-11-16","3+","RENEWED BASE","2017-12-16","2017-12-16","2019-01-19","BASE","BASE","N","?","N","N"
"2018-01",178765,3,"BUSINESS","2015-01-24","3","RENEWED PLUS","2018-01-24","2018-01-24","2019-01-24","PLUS","PLUS","Y","?","Y","N"
"2018-01",57011,2,"SAVINGS","2005-08-27","3+","RENEWED PLUS","2018-01-21","2018-01-18","2019-01-21","PLUS","PLUS","Y","2016-05-30","Y","N"
"2018-01",243255,2,"SAVINGS","2017-01-27","1","RENEWED PLUS","2017-01-27","2018-01-25","2019-01-27","PLUS","PLUS","Y","?","Y","N"
"2018-01",75894,3,"BUSINESS","1993-09-23","3+","RENEWED BASE","2017-12-26","2017-12-26","2019-01-03","BASE","BASE","N","?","N","N"
"2018-01",94353,2,"SAVINGS","2009-01-25","3+","RENEWED BASE","2018-01-25","2018-01-25","2019-01-25","BASE","BASE","N","?","N","N"
"2018-01",13690,3,"BUSINESS","2001-11-17","3+","RENEWED BASE","2018-01-03","2018-01-03","2019-01-31","BASE","BASE","N","?","N","N"
"2018-01",110760,2,"SAVINGS","1997-05-10","3+","RENEWED BASE","2018-01-29","2018-01-29","2019-01-04","BASE","BASE","N","?","N","N"
"2018-01",225813,3,"BUSINESS","2017-01-14","1","RENEWED BASE","2018-02-10","2018-02-10","2019-01-14","PLUS","BASE","N","?","N","N"
"2018-01",168816,2,"SAVINGS","2015-01-21","3","RENEWED BASE","2018-03-04","2018-03-04","2019-01-21","PLUS","BASE","N","2017-10-31","N","N"
"2018-01",224908,2,"SAVINGS","2017-01-14","1","RENEWED BASE","2018-01-06","2018-01-06","2019-01-14","BASE","BASE","N","?","N","N"
"2018-01",114925,2,"SAVINGS","2011-01-15","3+","RENEWED PLUS","2018-01-15","2018-01-12","2019-01-15","PLUS","PLUS","Y","2013-05-18","Y","N"
"2018-01",178305,2,"SAVINGS","2015-01-23","3","RENEWED BASE","2018-02-10","2018-02-10","2019-01-23","BASE","BASE","N","?","N","N"
"2018-01",187159,2,"SAVINGS","2016-01-02","2","UNRENEWED","2016-01-02","?","2018-01-02","BASE","?","N","?","N","N"
"2018-01",143858,2,"SAVINGS","2013-01-27","3+","UNRENEWED","2017-01-30","?","2018-01-27","PLUS","?","Y","2015-03-28","N","N"
"2018-01",105902,3,"BUSINESS","2010-01-27","3+","RENEWED PLUS","2018-01-17","2018-01-17","2019-01-27","PLUS","PLUS","Y","2015-07-16","N","N"
"2018-01",2963,2,"SAVINGS","2000-01-17","3+","RENEWED PLUS","2018-01-16","2018-01-13","2019-01-16","PLUS","PLUS","N","2017-11-21","Y","N"
"2018-01",48425,2,"SAVINGS","1992-01-15","3+","RENEWED BASE","2018-01-10","2018-01-10","2019-01-15","BASE","BASE","N","?","N","N"
"2018-01",111161,3,"BUSINESS","2010-11-05","3+","UNRENEWED","2017-01-27","?","2018-01-14","BASE","?","N","?","N","N"
"2018-01",2270,2,"SAVINGS","2000-07-19","3+","RENEWED BASE","2018-01-16","2018-01-13","2019-01-16","BASE","BASE","N","2012-03-13","N","N"
"2018-01",188786,2,"SAVINGS","2016-01-04","2","UNRENEWED","2017-01-28","?","2018-01-04","BASE","?","N","?","N","N"
"2018-01",190280,2,"SAVINGS","2016-01-07","2","RENEWED BASE","2018-05-11","2018-05-11","2019-05-11","BASE","BASE","N","?","N","N"
"2018-01",223326,2,"SAVINGS","2017-01-13","1","RENEWED PLUS","2018-01-13","2018-01-13","2019-01-13","PLUS","PLUS","Y","2017-05-18","N","N"
"2018-01",86188,3,"BUSINESS","1995-01-06","3+","RENEWED BASE","2018-02-05","2018-02-05","2019-01-06","BASE","BASE","N","?","N","N"
"2018-01",144581,2,"SAVINGS","2013-01-31","3+","RENEWED PLUS","2018-01-20","2018-01-20","2019-01-31","PLUS","PLUS","Y","?","N","Y"
"2018-01",142791,2,"SAVINGS","2013-01-22","3+","RENEWED BASE","2018-01-22","2018-01-19","2019-01-22","BASE","BASE","N","2016-02-07","Y","N"
"2018-01",29874,2,"SAVINGS","2003-01-07","3+","RENEWED BASE","2017-12-07","2017-12-07","2019-01-07","BASE","BASE","N","?","N","N"
"2018-01",29462,2,"SAVINGS","2003-01-04","3+","RENEWED PLUS","2018-01-04","2018-01-04","2019-01-04","PLUS","PLUS","Y","2015-02-26","N","N"
"2018-01",210841,2,"SAVINGS","2017-01-04","1","UNRENEWED","2017-01-04","?","2018-01-04","BASE","?","N","?","N","N"
"2018-01",31937,2,"SAVINGS","2003-01-20","3+","RENEWED PLUS","2018-01-22","2018-01-22","2019-01-22","PLUS","PLUS","Y","?","Y","N"
"2018-01",234362,2,"SAVINGS","2017-01-21","1","UNRENEWED","2017-01-21","?","2018-01-21","BASE","?","N","?","N","N"
"2018-01",202691,2,"SAVINGS","2016-01-30","2","RENEWED PLUS","2018-02-16","2018-02-16","2019-01-30","PLUS","PLUS","Y","?","N","N"
"2018-01",207772,2,"SAVINGS","2014-12-27","3+","UNRENEWED","2017-01-06","?","2018-01-06","BASE","?","N","?","N","N"
"2018-01",140381,2,"SAVINGS","2013-01-12","3+","RENEWED PLUS","2018-01-12","2018-01-09","2019-01-12","PLUS","PLUS","Y","?","Y","N"
"2018-01",28039,3,"BUSINESS","1991-10-10","3+","RENEWED PLUS","2018-01-23","2018-01-20","2019-01-23","PLUS","PLUS","Y","?","Y","N"
"2018-01",221465,2,"SAVINGS","2017-01-18","1","RENEWED BASE","2018-01-18","2018-01-18","2019-01-18","BASE","BASE","N","?","Y","N"
"2018-01",194414,2,"SAVINGS","2016-01-14","2","RENEWED PLUS","2017-12-13","2017-12-13","2019-01-14","PLUS","PLUS","Y","?","N","N"
"2018-01",209515,2,"SAVINGS","2017-01-02","1","UNRENEWED","2017-01-02","?","2018-01-02","BASE","?","N","?","N","N"
"2018-01",153059,2,"SAVINGS","2014-01-05","3+","RENEWED PLUS","2018-04-21","2018-04-21","2019-04-21","PLUS","PLUS","Y","?","N","N"
"2018-01",81377,2,"SAVINGS","2008-01-20","3+","RENEWED BASE","2017-01-21","2018-01-14","2019-01-20","BASE","BASE","N","2016-05-14","N","N"
"2018-01",162030,3,"BUSINESS","2014-03-23","3+","UNRENEWED","2017-01-14","?","2018-01-14","BASE","?","N","?","N","N"
"2018-01",213385,2,"SAVINGS","2017-01-06","1","RENEWED PLUS","2018-01-06","2018-01-06","2019-01-06","PLUS","PLUS","Y","?","Y","N"
"2018-01",103865,2,"SAVINGS","2010-01-15","3+","RENEWED PLUS","2018-02-17","2018-02-17","2019-01-15","PLUS","PLUS","Y","2014-09-02","N","N"
"2018-01",91705,3,"BUSINESS","2009-01-15","3+","RENEWED BASE","2017-01-10","2018-01-10","2019-01-15","BASE","BASE","N","2012-11-19","Y","N"
"2018-01",129907,2,"SAVINGS","2012-01-27","3+","RENEWED PLUS","2018-01-27","2018-01-24","2019-01-27","PLUS","PLUS","Y","?","Y","N"
"2018-01",70712,3,"BUSINESS","2007-01-10","3+","UNRENEWED","2017-03-07","?","2018-01-10","BASE","?","N","?","N","N"
"2018-01",225967,2,"SAVINGS","2017-01-14","1","RENEWED BASE","2018-01-11","2018-01-11","2019-01-14","BASE","BASE","N","?","Y","N"
"2018-01",87835,3,"BUSINESS","2008-10-30","3+","UNRENEWED","2017-01-22","?","2018-01-15","BASE","?","N","?","N","N"
"2018-01",176163,2,"SAVINGS","2015-01-17","3","RENEWED BASE","2018-02-01","2018-02-01","2019-01-17","BASE","BASE","N","2015-08-13","N","N"
"2018-01",20215,2,"SAVINGS","1991-10-20","3+","RENEWED PLUS","2017-12-29","2017-12-29","2019-01-25","PLUS","PLUS","Y","2017-11-06","N","N"
"2018-01",9736,2,"SAVINGS","2001-01-29","3+","RENEWED BASE","2018-01-29","2018-01-26","2019-01-29","BASE","BASE","N","?","Y","N"
"2018-01",152492,3,"BUSINESS","2014-01-03","3+","RENEWED PLUS","2018-03-07","2018-03-07","2019-03-07","PLUS","PLUS","Y","2014-06-12","N","N"
"2018-01",74363,2,"SAVINGS","1995-01-10","3+","RENEWED BASE","2017-12-22","2017-12-22","2019-01-10","BASE","BASE","N","?","N","N"
"2018-01",170319,2,"SAVINGS","2014-12-31","3+","RENEWED BASE","2018-01-14","2018-01-11","2019-01-14","BASE","BASE","N","?","Y","N"
"2018-01",136167,3,"BUSINESS","2000-01-06","3+","RENEWED PLUS","2018-01-03","2018-01-03","2019-01-05","PLUS","PLUS","Y","2013-01-31","N","N"
"2018-01",232963,2,"SAVINGS","2017-01-20","1","RENEWED BASE","2018-06-11","2018-06-11","2019-06-11","BASE","BASE","N","?","N","N"
"2018-01",216911,2,"SAVINGS","2017-01-09","1","UNRENEWED","2017-01-09","?","2018-01-09","BASE","?","N","?","N","N"
"2018-01",20524,2,"SAVINGS","1995-08-26","3+","RENEWED BASE","2017-01-08","2018-01-10","2019-01-10","BASE","BASE","N","?","N","N"
"2018-01",219190,2,"SAVINGS","2017-01-11","1","UNRENEWED","2017-01-11","?","2018-01-11","BASE","?","N","?","N","N"
"2018-01",33052,2,"SAVINGS","2003-01-27","3+","RENEWED PLUS","2018-01-27","2018-01-24","2019-01-27","PLUS","PLUS","Y","2015-10-30","Y","N"
"2018-01",55434,3,"BUSINESS","1991-10-21","3+","RENEWED PLUS","2018-04-08","2018-04-08","2019-04-08","PLUS","PLUS","Y","2013-06-02","N","N"
"2018-01",237578,2,"SAVINGS","2017-01-23","1","RENEWED PLUS","2017-12-18","2017-12-18","2019-01-23","PLUS","PLUS","Y","2017-10-02","N","N"
"2018-01",191615,2,"SAVINGS","2016-01-09","2","RENEWED BASE","2018-01-11","2018-01-11","2019-01-09","BASE","BASE","Y","2018-08-25","N","N"
"2018-01",37042,2,"SAVINGS","1992-01-18","3+","RENEWED PLUS","2017-12-23","2017-12-23","2019-01-18","PLUS","PLUS","Y","2016-04-23","N","N"
"2018-01",99654,3,"BUSINESS","1995-01-04","3+","RENEWED PLUS","2018-01-04","2018-01-01","2019-01-04","PLUS","PLUS","Y","?","Y","N"
"2018-01",211873,3,"BUSINESS","2017-01-05","1","RENEWED BASE","2017-12-26","2017-12-26","2019-01-05","BASE","BASE","N","?","N","N"
"2018-01",33905,2,"SAVINGS","2003-02-08","3+","RENEWED BASE","2018-01-10","2018-01-10","2019-01-09","BASE","BASE","N","2011-11-22","N","N"
"2018-01",76424,2,"SAVINGS","2007-09-11","3+","RENEWED BASE","2018-01-14","2018-01-14","2019-01-12","BASE","BASE","N","?","N","N"
"2018-01",67094,2,"SAVINGS","2006-09-22","3+","UNRENEWED","2015-10-12","?","2018-03-10","BASE","?","N","2014-03-05","N","N"
"2018-01",53513,3,"BUSINESS","1992-11-06","3+","RENEWED BASE","2018-01-03","2018-01-03","2019-01-24","BASE","BASE","N","2016-01-24","N","N"
"2018-01",144228,3,"BUSINESS","2013-01-29","3+","RENEWED BASE","2018-02-02","2018-02-02","2019-01-29","BASE","BASE","N","2013-11-29","N","N"
"2018-01",159754,2,"SAVINGS","2014-01-26","3+","RENEWED BASE","2018-01-20","2018-01-20","2019-01-14","BASE","BASE","N","2014-02-09","N","N"
"2018-01",10698,3,"BUSINESS","1991-08-06","3+","UNRENEWED","2017-01-14","?","2018-01-13","BASE","?","N","?","N","N"
"2018-01",147054,2,"SAVINGS","2013-07-10","3+","UNRENEWED","2017-01-27","?","2018-01-16","BASE","?","N","?","N","N"
"2018-01",10344,2,"SAVINGS","2001-03-28","3+","RENEWED BASE","2018-01-09","2018-01-09","2019-01-29","BASE","BASE","N","2010-11-19","N","N"
"2018-01",121562,3,"BUSINESS","1997-01-23","3+","RENEWED BASE","2018-01-08","2018-01-08","2019-01-23","BASE","BASE","N","2015-11-27","N","N"
"2018-01",205287,2,"SAVINGS","2017-01-18","1","RENEWED BASE","2017-12-21","2017-12-21","2019-01-18","PLUS","BASE","N","?","N","N"
"2018-01",118628,2,"SAVINGS","2011-02-25","3+","UNRENEWED","2017-02-05","?","2018-01-31","BASE","?","N","?","N","N"
"2018-01",75655,2,"SAVINGS","2007-07-22","3+","RENEWED PLUS","2018-01-04","2018-01-04","2019-01-04","PLUS","PLUS","Y","2015-08-20","Y","N"
"2018-01",207317,2,"SAVINGS","2017-01-18","1","UNRENEWED","2017-01-18","?","2018-01-18","BASE","?","N","?","N","N"
"2018-01",200576,3,"BUSINESS","2016-01-26","2","RENEWED BASE","2018-03-10","2018-03-10","2019-01-26","BASE","BASE","N","?","N","N"
"2018-01",76656,2,"SAVINGS","1993-11-11","3+","RENEWED PLUS","2017-12-14","2017-12-14","2019-01-14","PLUS","PLUS","Y","2014-10-08","N","N"
"2018-01",212575,2,"SAVINGS","2017-01-05","1","UNRENEWED","2018-01-04","?","2018-01-04","BASE","?","N","?","N","N"
"2018-01",82297,2,"SAVINGS","2008-01-27","3+","RENEWED BASE","2018-01-20","2018-01-20","2019-01-27","BASE","BASE","N","?","N","N"
"2018-01",107277,2,"SAVINGS","2010-03-18","3+","RENEWED BASE","2018-01-26","2018-01-26","2019-01-20","BASE","BASE","N","2011-08-31","N","N"
"2018-01",159083,2,"SAVINGS","2014-01-24","3+","RENEWED BASE","2018-01-04","2018-01-04","2019-01-24","BASE","BASE","N","?","N","N"
"2018-01",96432,2,"SAVINGS","2009-03-15","3+","UNRENEWED","2017-01-29","?","2018-01-29","BASE","?","N","2015-10-10","N","N"
"2018-01",191850,2,"SAVINGS","2016-01-09","2","UNRENEWED","2017-02-17","?","2018-01-09","BASE","?","N","?","N","N"
"2018-01",188462,3,"BUSINESS","2016-01-03","2","UNRENEWED","2017-02-05","?","2018-01-03","PLUS","?","Y","?","N","N"
"2018-01",241922,2,"SAVINGS","2017-01-26","1","RENEWED PLUS","2018-01-26","2018-01-23","2019-01-26","PLUS","PLUS","Y","?","Y","N"
"2018-01",9946,3,"BUSINESS","2001-01-31","3+","RENEWED BASE","2018-01-08","2018-01-08","2019-01-31","BASE","BASE","Y","2018-07-18","N","N"
"2018-01",142655,2,"SAVINGS","2013-01-21","3+","RENEWED BASE","2017-01-21","2018-01-18","2018-01-21","BASE","BASE","N","?","N","N"
"2018-01",3128,2,"SAVINGS","2000-01-20","3+","RENEWED BASE","2018-01-02","2018-01-02","2019-01-25","BASE","BASE","N","?","N","N"
"2018-01",186809,2,"SAVINGS","2015-12-20","3","RENEWED BASE","2017-12-29","2017-12-29","2019-01-02","BASE","BASE","N","?","N","N"
"2018-01",125793,2,"SAVINGS","2012-01-07","3+","UNRENEWED","2017-01-23","?","2018-01-23","BASE","?","N","?","N","N"
"2018-01",94613,2,"SAVINGS","2009-01-29","3+","RENEWED BASE","2018-01-09","2018-01-09","2019-01-29","BASE","BASE","N","?","N","N"
"2018-01",116722,3,"BUSINESS","2011-01-24","3+","RENEWED PLUS","2018-01-22","2018-01-22","2019-01-24","PLUS","PLUS","Y","?","N","N"
"2018-01",167318,2,"SAVINGS","2014-10-14","3+","RENEWED BASE","2018-03-17","2018-03-17","2019-03-17","BASE","BASE","N","2015-03-01","N","N"
"2018-01",94845,3,"BUSINESS","2009-01-28","3+","RENEWED BASE","2018-02-07","2018-02-07","2019-01-28","BASE","BASE","N","?","N","N"
"2018-01",246667,2,"SAVINGS","2017-01-29","1","RENEWED PLUS","2018-03-06","2018-03-06","2019-01-29","PLUS","PLUS","Y","?","N","N"
"2018-01",203975,2,"SAVINGS","2016-04-03","2","UNRENEWED","2016-04-03","?","2018-01-10","BASE","?","N","?","N","N"
"2018-01",168700,2,"SAVINGS","2014-11-11","3+","RENEWED PLUS","2018-01-10","2018-01-10","2019-01-16","PLUS","PLUS","Y","2016-09-08","N","N"
"2018-01",157365,2,"SAVINGS","2014-01-22","3+","RENEWED BASE","2017-12-18","2017-12-18","2019-01-22","BASE","BASE","N","2015-04-08","Y","N"
"2018-01",238279,2,"SAVINGS","2017-01-23","1","RENEWED PLUS","2018-01-23","2018-01-23","2019-01-23","PLUS","PLUS","Y","?","Y","N"
"2018-01",186170,2,"SAVINGS","2015-11-14","3","RENEWED BASE","2018-02-12","2018-02-12","2019-01-22","BASE","BASE","N","?","N","N"
"2018-01",124044,2,"SAVINGS","1997-01-27","3+","RENEWED BASE","2018-03-06","2018-03-06","2019-03-06","BASE","BASE","N","2014-09-10","N","N"
"2018-01",224516,3,"BUSINESS","2017-01-14","1","UNRENEWED","2017-01-14","?","2018-01-14","PLUS","?","Y","?","N","N"
"2018-01",188185,2,"SAVINGS","2016-01-03","2","UNRENEWED","2017-01-07","?","2018-01-03","BASE","?","N","?","N","N"
"2018-01",76593,2,"SAVINGS","1994-12-22","3+","RENEWED BASE","2018-01-29","2017-12-14","2018-01-02","BASE","BASE","N","?","Y","N"
"2018-01",66823,2,"SAVINGS","1994-01-09","3+","RENEWED BASE","2017-12-26","2017-12-26","2019-01-09","BASE","BASE","N","2014-11-22","N","N"
"2018-01",62731,3,"BUSINESS","2006-01-22","3+","RENEWED PLUS","2017-12-15","2017-12-15","2019-01-22","PLUS","PLUS","Y","2015-08-20","N","N"
"2018-01",189400,2,"SAVINGS","2016-01-05","2","RENEWED PLUS","2017-12-23","2017-12-23","2019-01-05","PLUS","PLUS","Y","?","N","Y"
"2018-01",125792,2,"SAVINGS","2012-01-07","3+","RENEWED PLUS","2018-02-12","2018-01-04","2018-02-11","PLUS","PLUS","Y","2017-01-14","N","N"
